Date,download
2011-10-25,2.609
2011-10-26,4.587
2011-10-27,2.95
2011-10-28,2.892
2011-10-29,2.002
2011-10-30,2.897
2011-10-31,2.6919999999999997
2011-11-01,2.535
2011-11-02,3.095
2011-11-03,3.6830000000000003
2011-11-04,1.449
2011-11-05,4.522
2011-11-06,3.0660000000000003
2011-11-07,4.293
2011-11-08,2.6210000000000004
2011-11-09,2.991
2011-11-10,2.56
2011-11-11,5.075
2011-11-12,2.004
2011-11-13,3.214
2011-11-14,6.472
2011-11-15,2.11
2011-11-16,3.818
2011-11-17,4.2410000000000005
2011-11-18,2.697
2011-11-19,3.37
2011-11-20,2.795
2011-11-21,3.5839999999999996
2011-11-22,1.673
2011-11-23,1.232
2011-11-24,3.326
2011-11-25,3.763
2011-11-26,1.9040000000000001
2011-11-27,1.742
2011-11-28,1.841
2011-11-29,2.9189999999999996
2011-11-30,3.667
2011-12-01,4.978
2011-12-02,4.533
2011-12-03,2.171
2011-12-04,1.814
2011-12-05,5.422000000000001
2011-12-06,3.595
2011-12-07,6.212999999999999
2011-12-08,3.7060000000000004
2011-12-09,3.719
2011-12-10,3.139
2011-12-11,4.984
2011-12-12,6.046
2011-12-13,3.615
2011-12-14,2.176
2011-12-15,3.029
2011-12-16,4.477
2011-12-17,4.199
2011-12-18,3.37
2011-12-19,6.063
2011-12-20,4.757
2011-12-21,2.7910000000000004
2011-12-22,5.6739999999999995
2011-12-23,2.9930000000000003
2011-12-24,4.583
2011-12-25,3.11
2011-12-26,1.7890000000000001
2011-12-27,4.218999999999999
2011-12-28,3.495
2011-12-29,2.555
2011-12-30,4.935
2011-12-31,3.6
2012-01-01,2.1519999999999997
2012-01-02,2.577
2012-01-03,2.7489999999999997
2012-01-04,3.801
2012-01-05,1.885
2012-01-06,4.367
2012-01-07,1.202
2012-01-08,4.33
2012-01-09,4.7139999999999995
2012-01-10,2.93
2012-01-11,0.9590000000000001
2012-01-12,7.584
2012-01-13,2.805
2012-01-14,5.0760000000000005
2012-01-15,1.635
2012-01-16,1.609
2012-01-17,2.633
2012-01-18,1.351
2012-01-19,2.513
2012-01-20,4.761
2012-01-21,3.3289999999999997
2012-01-22,2.316
2012-01-23,3.93
2012-01-24,6.122999999999999
2012-01-25,6.341
2012-01-26,5.985
2012-01-27,5.492999999999999
2012-01-28,3.717
2012-01-29,3.065
2012-01-30,2.707
2012-01-31,6.147
2012-02-01,3.147
2012-02-02,9.201
2012-02-03,4.058
2012-02-04,3.1460000000000004
2012-02-05,3.9739999999999998
2012-02-06,2.29
2012-02-07,5.012
2012-02-08,4.442
2012-02-09,3.2880000000000003
2012-02-10,3.305
2012-02-11,3.641
2012-02-12,3.156
2012-02-13,3.1239999999999997
2012-02-14,2.573
2012-02-15,4.529
2012-02-16,2.491
2012-02-17,4.1
2012-02-18,4.319
2012-02-19,3.208
2012-02-20,3.159
2012-02-21,3.877
2012-02-22,2.039
2012-02-23,4.577
2012-02-24,3.202
2012-02-25,3.4160000000000004
2012-02-26,2.9610000000000003
2012-02-27,2.847
2012-02-28,1.341
2012-02-29,3.7489999999999997
2012-03-01,5.335
2012-03-02,4.655
2012-03-03,3.319
2012-03-04,3.114
2012-03-05,3.702
2012-03-06,4.516
2012-03-07,4.46
2012-03-08,3.3
2012-03-09,4.011
2012-03-10,4.695
2012-03-11,2.306
2012-03-12,2.937
2012-03-13,3.392
2012-03-14,1.6740000000000002
2012-03-15,3.512
2012-03-16,2.6069999999999998
2012-03-17,1.983
2012-03-18,4.376
2012-03-19,4.635
2012-03-20,3.512
2012-03-21,2.634
2012-03-22,3.2119999999999997
2012-03-23,1.949
2012-03-24,4.294
2012-03-25,2.076
2012-03-26,2.8339999999999996
2012-03-27,1.93
2012-03-28,2.13
2012-03-29,4.531000000000001
2012-03-30,3.487
2012-03-31,2.0909999999999997
2012-04-01,3.181
2012-04-02,3.636
2012-04-03,5.271
2012-04-04,2.685
2012-04-05,3.1439999999999997
2012-04-06,4.303
2012-04-07,4.452
2012-04-08,3.22
2012-04-09,3.385
2012-04-10,4.107
2012-04-11,2.225
2012-04-12,4.708
2012-04-13,3.111
2012-04-14,3.766
2012-04-15,4.203
2012-04-16,3.0639999999999996
2012-04-17,3.516
2012-04-18,1.979
2012-04-19,9.156
2012-04-20,4.6080000000000005
2012-04-21,3.1689999999999996
